customer_id,first_name,last_name,email,region,customer_segment,created_at
1,Johnny,Scott,johnny.scott1@example.com,Southwest,New,2023-03-12
2,Beth,Martinez,beth.martinez2@example.com,Southeast,New,2025-08-01
3,Heidi,Hart,heidi.hart3@example.com,Southwest,Returning,2024-01-15
4,Angela,Foster,angela.foster4@example.com,Southeast,New,2024-08-02
5,Donna,Martinez,donna.martinez5@example.com,West,High Value,2024-04-14
6,Kristina,Simmons,kristina.simmons6@example.com,Southwest,Returning,2024-09-08
7,William,Keller,william.keller7@example.com,West,New,2025-03-30
8,Brad,Rodriguez,brad.rodriguez8@example.com,Northeast,New,2024-09-07
9,Kaylee,Bradley,kaylee.bradley9@example.com,Southeast,New,2024-10-13
10,Linda,Weiss,linda.weiss10@example.com,Southeast,New,2023-10-17
11,Michelle,Cordova,michelle.cordova11@example.com,Northeast,Returning,2023-04-22
12,Sharon,Carey,sharon.carey12@example.com,Northeast,Returning,2024-01-04
13,Lisa,Chang,lisa.chang13@example.com,Southwest,New,2025-10-25
14,Kimberly,Rodriguez,kimberly.rodriguez14@example.com,Northeast,Returning,2025-01-28
15,Gabriella,Humphrey,gabriella.humphrey15@example.com,Northeast,New,2023-06-24
16,Sean,Rush,sean.rush16@example.com,Southwest,High Value,2025-05-07
17,Gabriel,Powell,gabriel.powell17@example.com,West,New,2023-03-28
18,Sandra,White,sandra.white18@example.com,Southeast,Loyal,2024-05-09
19,Andrew,Mcneil,andrew.mcneil19@example.com,Northeast,New,2025-03-12
20,Robert,Johnson,robert.johnson20@example.com,Northeast,Returning,2025-05-19
21,Elizabeth,Clay,elizabeth.clay21@example.com,Southeast,New,2025-05-20
22,Juan,Parker,juan.parker22@example.com,West,Returning,2024-04-26
23,Kari,Torres,kari.torres23@example.com,Midwest,Returning,2024-02-16
24,Heidi,Duffy,heidi.duffy24@example.com,Southwest,Loyal,2024-04-18
25,John,Gutierrez,john.gutierrez25@example.com,West,High Value,2023-11-19
26,Jim,Smith,jim.smith26@example.com,Southeast,Loyal,2024-04-29
27,William,White,william.white27@example.com,West,Returning,2024-08-22
28,Mallory,Hurley,mallory.hurley28@example.com,Northeast,Returning,2025-04-01
29,Nicole,Mclaughlin,nicole.mclaughlin29@example.com,Southwest,New,2024-11-07
30,Bradley,Mcconnell,bradley.mcconnell30@example.com,Southeast,New,2024-10-06
31,Jessica,Nash,jessica.nash31@example.com,West,Returning,2024-02-09
32,Jessica,Wells,jessica.wells32@example.com,Midwest,Loyal,2025-06-13
33,Billy,Gonzalez,billy.gonzalez33@example.com,Southwest,Returning,2024-04-01
34,Melissa,Gonzales,melissa.gonzales34@example.com,West,Returning,2024-03-29
35,Karen,Williams,karen.williams35@example.com,Northeast,Returning,2025-11-27
36,Lisa,Hardin,lisa.hardin36@example.com,Northeast,Returning,2024-09-13
37,Jamie,Wilson,jamie.wilson37@example.com,West,Returning,2024-05-23
38,Kimberly,Nolan,kimberly.nolan38@example.com,Midwest,Loyal,2025-11-17
39,John,Barnes,john.barnes39@example.com,West,High Value,2024-05-03
40,Corey,Simpson,corey.simpson40@example.com,West,Returning,2025-04-07
41,Lindsey,Santos,lindsey.santos41@example.com,Northeast,Returning,2025-06-06
42,Brandy,Pacheco,brandy.pacheco42@example.com,Midwest,Loyal,2024-07-24
43,Kenneth,Howard,kenneth.howard43@example.com,Northeast,Returning,2025-05-26
44,Danielle,Maldonado,danielle.maldonado44@example.com,West,New,2024-04-18
45,Richard,Martinez,richard.martinez45@example.com,Northeast,Loyal,2025-11-26
46,Timothy,Werner,timothy.werner46@example.com,Midwest,New,2023-02-23
47,Javier,Morgan,javier.morgan47@example.com,Midwest,New,2024-11-18
48,Yvonne,Craig,yvonne.craig48@example.com,Southeast,New,2025-05-21
49,Donna,Morrison,donna.morrison49@example.com,Midwest,New,2023-09-11
50,John,Barnett,john.barnett50@example.com,Southeast,Returning,2025-09-01
51,Amber,Ortiz,amber.ortiz51@example.com,West,New,2023-05-31
52,Adam,Johnson,adam.johnson52@example.com,Southwest,Returning,2024-05-31
53,Stacy,Torres,stacy.torres53@example.com,West,New,2023-09-25
54,Alexandra,Lewis,alexandra.lewis54@example.com,Midwest,Returning,2025-08-04
55,Jennifer,Tucker,jennifer.tucker55@example.com,Southeast,Returning,2023-11-04
56,Catherine,White,catherine.white56@example.com,Northeast,Returning,2025-05-25
57,Richard,Owen,richard.owen57@example.com,West,Returning,2024-04-14
58,Samuel,Mason,samuel.mason58@example.com,Midwest,Returning,2025-02-18
59,Natalie,Hernandez,natalie.hernandez59@example.com,West,New,2023-11-18
60,Nathan,Brown,nathan.brown60@example.com,Southeast,Loyal,2025-06-09
61,Reginald,Ross,reginald.ross61@example.com,Midwest,Loyal,2023-09-04
62,Erika,Rice,erika.rice62@example.com,Northeast,New,2025-04-15
63,Andrea,Bowman,andrea.bowman63@example.com,Southeast,Returning,2023-11-06
64,Vincent,Rodgers,vincent.rodgers64@example.com,Midwest,Loyal,2024-02-29
65,Kristin,Maynard,kristin.maynard65@example.com,Southeast,Loyal,2023-06-19
66,Shannon,Peterson,shannon.peterson66@example.com,Northeast,Loyal,2025-04-19
67,Stacey,Berry,stacey.berry67@example.com,Midwest,Loyal,2024-03-13
68,Anita,Conner,anita.conner68@example.com,West,Returning,2025-05-27
69,Lori,Gordon,lori.gordon69@example.com,Midwest,Loyal,2024-03-01
70,Michael,Wells,michael.wells70@example.com,Midwest,New,2025-05-31
71,Cynthia,Ball,cynthia.ball71@example.com,West,New,2023-10-14
